image,details
close_3m_stand_coldlight_longsleeve_sideshot_withshelter_CJ01_P0006.mp4#t=1.133333,人体姿态标签要么没有，要么不止一个。 
close_3m_stand_coldlight_longsleeve_sideshot_withshelter_CJ01_P0006.mp4#t=1.133333,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
drinking_2m_stand_coldlight_longsleeve_sideshot_withoutshelter_CJ01_P0001.mp4#t=0.6,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
drinking_3m_stand_coldlight_longsleeve_frontshot_withshelter_CJ01_P0001.mp4#t=0.2,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
drinking_4m_stand_coldlight_longsleeve_sideshot_withshelter_CJ01_P0001.mp4#t=1.633333,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
drinking_4m_stand_coldlight_longsleeve_sideshot_withshelter_CJ01_P0001.mp4#t=4.5,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
eating_2m_sit_coldlight_longsleeve_sideshot_withshelter_CJ01_P0001.mp4#t=7.133333,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
eating_2m_sit_coldlight_shortsleeve_sideshot_withoutshelter_CJ01_P0002.mp4#t=5.666667,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
eating_2m_sit_coldlight_shortsleeve_sideshot_withoutshelter_CJ01_P0002.mp4#t=9.633333,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
eating_3m_sit_coldlight_longsleeve_frontshot_withshelter_CJ01_P0001.mp4#t=6.5,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
eating_3m_sit_coldlight_shortsleeve_frontshot_withshelter_CJ01_P0002.mp4#t=7.4,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
eating_4m_sit_coldlight_longsleeve_sideshot_withshelter_CJ01_P0001.mp4#t=6.633333,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
knock_4m_sit_coldlight_longsleeve_sideshot_withshelter_CJ01_P0004.mp4#t=2.8,人体姿态标签要么没有，要么不止一个。 
knock_4m_stand_coldlight_shortsleeve_sideshot_withshelter_CJ01_P0010.mp4#t=3,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
open_2m_stand_dimlight_shortsleeve_frontshot_withshelter_CJ01_P0040.mp4#t=7,人体姿态标签要么没有，要么不止一个。 
open_3m_stand_dimlight_shortsleeve_backshot_withoutshelter_CJ01_P0039.mp4#t=4.133333,人体姿态标签要么没有，要么不止一个。 
pushoverfall_3m_stand_coldlight_shortsleeve_frontshot_withoutshelter_CJ01_P0012.mp4#t=3.7,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
takecup_2m_stand_coldlight_shortsleeve_sideshot_withoutshelter_CJ01_P0012.mp4#t=1.366667,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
takephone_2m_sit_coldlight_shortsleeve_sideshot_withoutshelter_CJ01_P0010.mp4#t=2.966667,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
tripfall_4m_stand_coldlight_shortsleeve_sideshot_withshelter_CJ01_P0002.mp4#t=2.1,中间帧质量标签要么没标，要么在有qualified标签的情况下还有其他错误标签。 
